Menge,Sachnummer,Lageplatz
42,A222 840 0911 9D53,B14-120B02
14,A223 680 6007,B15-010C04
16,A223 900 8530,B15-020C01
28,A223 820 6001 9051,B17-125B03
150,A223 545 7900,B18-060A01
18,A000 900 2451,B18-100B02
28,A214 820 8200 ,B20-010B02
20,A223 540 0427,B20-030C01
24,A223 680 3607,B23-230A02
32,A223 680 8803,B23-230B03
42,A223 830 6100 2A17,B23-260A03
30,A223 680 0902 8U00,B23-280B01
10,A223 540 1940,B05-840A01
200,A223 682 1300,B05-850A03
150,A223 682 1100,B05-850B03
10,A223 540 0940,B05-890A01
12,A223 540 0304,B05-900C02
50,A223 320 1102,B12-070A01
52,A223 610 7704,B12-080A03
20,A223 540 3655,B12-080C01
24,A223 820 8100,B13-040A01
24,A214 820 8100,B13-040A01
45,A223 820 1505,B13-040B01
21,A223 930 0600,B14-050A03
18,A223 900 9737,B14-050C02
42,A222 840 1011 9D53,B14-080C02
30,A223 970 9101 8w52,B14-090A01
30,A223 970 9301 3F12,B14-090C01
42,A222 840 0911 9D53,B14-120B02
14,A223 680 6007,B15-010C04
16,A223 900 8530,B15-020C01
28,A223 820 6001 9051,B17-125B03
150,A223 545 7900,B18-100B02
28,A214 820 8200,B20-010B02
20,A223 540 0427,B20-030A02
24,A223 680 3607,B23-230A02
32,A223 680 8803,B23-230B03
42,A223 830 6100 2A17,B23-280B01
30,A223 680 0902 8U00,D23-280B01
20,A223 694 7800 9051,D61-010C01
15,A223 694 6900 9051,D61-025C01
18,A297 680 6705 8U03,D62-150A01
21,A000 890 0397,D64-030A03
30,A223 831 0100 7P82,D70-040A03
17,A297 831 5100 9051,D70-040B01
5,A223 680 1502 8T92,D71-020B01
24,A297 810 8401 9051,D74-080A01
4,A297 900 8317 9051,D91-070B02
4,A297 900 8417 1D03,D91-090A01
4,A297 900 8417 8T92,D91-110A01
4,A223 900 7136,D91-140B01
7,A297 680 6500 8AB0,D91-200B03
10,A223 900 2539,D92-009B02
60,A223 832 1200,D92-110C02
10,A223 830 0100,D07-100A02
50,A204 880 0127,D07-100B06
28,A223 682 4804,D07-120C01
28,A214 820 8200,D07-140C01
3,A223 690 9101 9H99,D05-680C02
6,A223 690 6502 8W04,D05-690B02
30,A222 868 1739 8T92,D05-730B02
2,A223 690 3906 8T92,D05-740C03
30,A223 698 3900,D05-750C02
30,A222 868 1739 8T92,D06-005C03
12,A223 950 0100 3F10,D06-030A01
18,A223 868 0600 2A17,D06-050B01
18,A223 860 0003 8V98,A41-030C04
18,A223 860 0003 8U46,A41-070B03
24,A213 890 1300,A44-010A01
40,A297 545 7000,B01-020C03
240,A223 682 3001,B02-010B02
54,A222 830 5206,B02-010B03
55,A297 682 5702,B02-040B02
44,A297 421 0400,B02-040C01
20,A223 830 5000,B02-040C04
80,A223 682 3900,B02-080A01
12,A223 830 5402,B02-080A02
40,A297 682 5302,B02-090B03
140,A223 682 2901,B02-090B03
25,A223 545 1602,B03-650B03
25,A223 545 1702,B03-650C01
3,A297 222 6500,A04-045A01
15,A297 919 1200 1D03,A04-635A01
50,A294 501 4900,A06-020B01
46,A000 540 3214,A06-030C02
15,A223 524 7700,A06-040A05
64,A223 501 9901,A06-040B01
40,A223 501 7901,A06-040B02
65,A297 524 2200 ,A06-110A01
390,A223 684 4500 ,A06-280A01
38,A223 520 1000,A06-650A01
13,A297 720 1300,A07-025B01
15,A223 694 6900 8T92,D61-020A01
10,A223 680 3700 7P82,D61-030C01
42,A297 694 2100,D69-010C01
42,A297 694 2200,D69-010C02
800,A000 900 4825,D70-025B01
17,A297 831 5100 9051,D70-040B01
17,A297 831 5100 1D03,D70-040C01
4,A297 860 1302 1D03,D73-030C03
4,A297 860 1302 9C94,D73-050B03
4,A223 820 3400,D75-060A01
40,A223 501 8001,D06-020B01
12,A223 950 0100 3F10,D06-030A01
12,A223 950 0100 7R12,D06-050A04
32,A223 689 0500 9D53,D06-060C04
550,A001 997 0544,D06-068A03
60,A223 540 5802,D06-068C04
28,A223 900 5936,D07-100C01
28,A214 820 8200,D07-140C01
24,A223 628 3200,D07-160B03
24,A223 820 0206,D07-830A01
25,A223 900 6837,D03-020C02
140,A223 900 9035,D03-610A01
25,A297 420 4500,D03-700C03
210,A223 612 4200,D05-070A01
3,A223 690 9101 9H99,D05-680C02
44,A297 421 0400,B02-040C01
20,A223 830 5000,B02-040C04
100,A297 682 4902,B02-050C01
80,A223 682 3900,B02-080A01
60,A297 333 1100 ,B02-420A01
240,A223 682 8904,B02-750A01
60,A223 720 4200,B03-610B01
13,A223 690 6803,B03-640C01
13,A223 690 6403,B03-670C01
52,A223 690 3106,B03-670C03
13,A223 690 6603,B03-690C01
30,A223 725 3000,B04-055A01
90,A297 732 6600,B04-100A01
13,A223 690 6703,B04-630C01
13,A223 690 6303,B04-680C01
13,A223 690 6503,B04-690A01
32,A223 811 2900 ,B04-700B01
70,A297 733 0700,B04-700C01
52,A223 690 3106,B04-720B03
228,A223 616 3900,B05-075A01
200,A223 830 1602,B05-120A01
6,A223 330 2603,B05-140A01
12,A223 540 0840,B05-760B04
40,A223 491 3400,B05-780B02
12,A000 500 9100,B05-790A02
70,A223 420 2200,B05-810B02
60,A000 490 1441,B05-820B02
150,A223 682 1100,B05-850B03
